noga_slug,nace_slug,noga_level,nace_level,noga_code,nace_code,noga_uri,nace_uri,section,noga_label_en,noga_label_de,noga_label_fr,noga_label_it,nace_label_en,nace_label_bg,nace_label_cs,nace_label_da,nace_label_de,nace_label_el,nace_label_es,nace_label_et,nace_label_fi,nace_label_fr,nace_label_hr,nace_label_hu,nace_label_it,nace_label_lt,nace_label_lv,nace_label_mt,nace_label_nl,nace_label_no,nace_label_pl,nace_label_pt,nace_label_ro,nace_label_ru,nace_label_sk,nace_label_sl,nace_label_sv,nace_label_tr
noga-c-25,nace-25-62,division,class,25,25.62,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2562,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Machining,Механично обработване на метал,Obrábění,Maskinforarbejdning,Mechanik a. n. g.,Μεταλλοτεχνία,Ingeniería mecánica por cuenta de terceros,Mehaaniline metallitöötlus,Metallien työstö,Usinage,Strojna obrada metala,Fémmegmunkálás,Lavori di meccanica generale,Mechaninis apdirbimas,Mehāniskā apstrāde,Ħidma bil-magni,Verspanend bewerken van metalen,Bearbeiding av metaller,Obróbka mechaniczna elementów metalowych,Actividades de mecânica geral,Operaţiuni de mecanică generală,Основные технологические процессы машиностроения,Obrábanie,Mehanska obdelava kovin,Metallegoarbeten,Metallerin makinede işlenmesi ve şekil verilmesi
noga-c-25,nace-25-71,division,class,25,25.71,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2571,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of cutlery,Производство на кухненски прибори и ножарски изделия,Výroba nožířských výrobků,"Fremstilling af bestik, skære- og klipperedskaber",Herstellung von Schneidwaren und Bestecken aus unedlen Metallen,Κατασκευή μαχαιροπήρουνων,Fabricación de artículos de cuchillería y cubertería,Lõike- ja söögiriistade tootmine,Ruokailu- ja leikkuuvälineiden yms. valmistus,Fabrication de coutellerie,Proizvodnja sječiva,Evőeszköz gyártása,Fabbricazione di articoli di coltelleria e posateria,Valgomųjų ir kitų pjovimo įrankių gamyba,Galda piederumu ražošana,Manifattura ta' pożati,"Vervaardiging van scharen, messen, bestekken, enz.",Produksjon av kjøkkenredskaper og skjære- og klipperedskaper,Produkcja wyrobów nożowniczych i sztućców,Fabricação de cutelaria,Fabricarea produselor de tăiat,Производство столовых приборов,Výroba nožiarskych výrobkov,Proizvodnja rezil in jedilnega pribora,Tillverkning av bestick,Çatal-bıçak takımları ve diğer kesici aletlerin imalatı
noga-c-25,nace-25-72,division,class,25,25.72,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2572,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of locks and hinges,Производство на строителен и мебелен обков,Výroba zámků a kování,Fremstilling af låse og hængsler,Herstellung von Schlössern und Beschlägen aus unedlen Metallen,Κατασκευή κλειδαριών και μεντεσέδων,Fabricación de cerraduras y herrajes,Lukkude ja hingede tootmine,Lukkojen ja saranoiden valmistus,Fabrication de serrures et de ferrures,Proizvodnja brava i okova,"Lakat-, zárgyártás",Fabbricazione di serrature e cerniere,Spynų ir vyrių gamyba,Slēdzeņu un eņģu ražošana,Manifattura ta' serraturi u ċappetti,Vervaardiging van hang- en sluitwerk,Produksjon av låser og beslag,Produkcja zamków i zawiasów,"Fabricação de fechaduras, dobradiças e outras ferragens",Fabricarea articolelor de feronerie,"Производство замков, петель и шарниров",Výroba zámkov a pántov,"Proizvodnja ključavnic, okovja",Tillverkning av lås och gångjärn,Kilit ve menteşe imalatı
noga-c-25,nace-25-73,division,class,25,25.73,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2573,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of tools,Производство на сечива и инструменти за ръчна работа,Výroba nástrojů a nářadí,Fremstilling af håndværktøj,Herstellung von Werkzeugen,Κατασκευή εργαλείων,Fabricación de herramientas,Tööriistade tootmine,Työkalujen valmistus,Fabrication d'outillage,Proizvodnja alata,Szerszámgyártás,Fabbricazione di utensileria,Kitų įrankių gamyba,Darbarīku ražošana,Manifattura ta' għodod,Vervaardiging van gereedschap,Produksjon av håndverktøy,Produkcja narzędzi,Fabricação de ferramentas,Fabricarea uneltelor,Производство инструментов,Výroba náradia,Proizvodnja orodja,Tillverkning av verktyg och redskap,"El aletleri, takım tezgahı uçları, testere ağızları vb. imalatı"
noga-c-25,nace-25-91,division,class,25,25.91,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2591,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of steel drums and similar containers,Производство на варели и подобни съдове от стомана,Výroba ocelových sudů a podobných nádob,Fremstilling af metaltønder og lignende beholdere,"Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall",Κατασκευή χαλύβδινων βαρελιών και παρόμοιων δοχείων,Fabricación de bidones y toneles de hierro o acero,Terasvaatide jms mahutite tootmine,Metallipakkausten ja -astioiden valmistus,Fabrication de fûts et emballages métalliques similaires,Proizvodnja čeličnih bačava i sličnih posuda,Acél tárolóeszköz gyártása,Fabbricazione di bidoni in acciaio e di contenitori analoghi,Plieninių statinių ir panašių talpyklų gamyba,Cilindrisku metāla trauku un konteineru ražošana,Manifattura ta' tankijiet ta' l-azzar u kontenituri simili,Vervaardiging van stalen vaten en dergelijke,Produksjon av stålfat og lignende beholdere av jern og stål,Produkcja pojemników metalowych,Fabricação de embalagens metálicas pesadas,"Fabricarea de recipienţi, containere şi alte produse similare din oţel",Производство металлических бочек и аналогичных емкостей,Výroba oceľových zásobníkov a podobných kontajnerov,"Proizvodnja jeklenih bobnov, sodov in podobnih posod",Tillverkning av stålfat o.d. behållare,Çelik varil ve benzer muhafazaların imalatı
noga-c-25,nace-25-92,division,class,25,25.92,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2592,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of light metal packaging,Производство на леки опаковки от метал,Výroba drobných kovových obalů,Fremstilling af letmetalemballage,"Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall",Κατασκευή ελαφρών μεταλλικών ειδών συσκευασίας,Fabricación de envases y embalajes metálicos ligeros,Kergmetalltaara tootmine,Kevytmetallipakkausten valmistus,Fabrication d'emballages métalliques légers,Proizvodnja ambalaže od lakih metala,Könnyűfém csomagolóeszköz gyártása,Fabbricazione di imballaggi leggeri in metallo,Lengvųjų metalų taros gamyba,Vieglā metāla iepakojuma ražošana,Manifattura ta' materjal ħafif għall-ippakkjar,Vervaardiging van verpakkingsmiddelen van licht metaal,Produksjon av emballasje av lettmetall,Produkcja opakowań z metali lekkich,Fabricação de embalagens metálicas ligeiras,Fabricarea ambalajelor uşoare din metal,Производство упаковочного материала из легких металлов,Výroba obalov z ľahkých kovov,Proizvodnja lahke kovinske embalaže,Tillverkning av lättmetallförpackningar,Metalden hafif paketleme malzemeleri imalatı
noga-c-25,nace-25-93,division,class,25,25.93,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2593,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","Manufacture of wire products, chain and springs","Производство на изделия от тел, вериги и пружини","Výroba drátěných výrobků, řetězů a pružin","Fremstilling af trådvarer, kæder og fjedre","Herstellung von Drahtwaren, Ketten und Federn","Κατασκευή ειδών από σύρμα, αλυσίδων και ελατηρίων","Fabricación de productos de alambre, cadenas y muelles","Traaditoodete, kettide ja vedrude tootmine","Metallilankatuotteiden, ketjujen ja jousien valmistus","Fabrication d'articles en fils métalliques, de chaînes et de ressorts","Proizvodnja proizvoda od žice, lanaca i opruga",Huzaltermék gyártása,"Fabbricazione di prodotti fabbricati con fili metallici, di catene e molle","Vielos gaminių, grandinių ir spyruoklių gamyba","Stiepļu izstrādājumu, ķēžu un atsperu ražošana","Manifattura ta' prodotti tal-wajer, katina u molol",Vervaardiging van artikelen van draad en van kettingen en veren,"Produksjon av varer av metalltråd, kjetting og fjærer","Produkcja wyrobów z drutu, łańcuchów i sprężyn","Fabricação de produtos de arame, correntes e molas metálicas",Fabricarea articolelor din fire metalice; fabricarea de lanţuri şi arcuri,"Производство изделий из проволоки, цепей и пружин","Výroba drôtených výrobkov, reťazí a pružín","Proizvodnja izdelkov iz žice, verig in vzmeti","Tillverkning av metalltrådvaror, kedjor och fjädrar","Tel ürünleri, zincir ve yayların imalatı"
noga-c-25,nace-25-94,division,class,25,25.94,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2594,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of fasteners and screw machine products,Производство на свързващи елементи,Výroba spojovacích materiálů a spojovacích výrobků se závity,"Fremstilling af lukkeanordninger, bolte, skruer og møtrikker",Herstellung von Schrauben und Nieten,Κατασκευή συνδετήρων και προϊόντων κοχλιομηχανών,Fabricación de pernos y productos de tornillería,Kinnituselementide ja keermestatud toodete tootmine,Kiinnittimien ja ruuvituotteiden valmistus,Fabrication de vis et de boulons,Proizvodnja zakovica i vijčane robe,"Kötőelem, csavar gyártása",Fabbricazione di articoli di bulloneria,Tvirtinimo detalių ir sriegimo mašinų gaminių gamyba,Spaiļu un skrūvju stiprinājumu izstrādājumu ražošana,Manifattura ta' ganċijiet u prodotti tal-magni li jinvitaw,"Vervaardiging van bouten, schroeven en moeren",Produksjon av bolter og skruer,Produkcja złączy i śrub,"Fabricação de rebites, parafusos e porcas","Fabricarea de şuruburi, buloane şi alte articole filetate; fabricarea de nituri şi şaibe",Производство крепежных изделий,"Výroba upínadiel, strojných skrutiek","Proizvodnja vijačnega materiala, vezi",Tillverkning av nitar och skruvar,Bağlantı malzemelerinin ve vida makinesi ürünlerinin imalatı
noga-c-25,nace-25-99,division,class,25,25.99,https://register.ld.admin.ch/i14y/concept/nogaCode/25,http://data.europa.eu/ux2/nace2/2599,C,"Manufacture of fabricated metal products, except machinery and equipment",Herstellung von Metallerzeugnissen,"Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",Manufacture of other fabricated metal products n.e.c.,"Производство на други метални изделия, некласифицирани другаде",Výroba ostatních kovodělných výrobků j. n.,Fremstilling af andre færdige metalprodukter i.a.n.,Herstellung von sonstigen Metallwaren a. n. g.,Κατασκευή άλλων μεταλλικών προϊόντων π.δ.κ.α.,Fabricación de otros productos metálicos n.c.o.p.,Mujal liigitamata metalltoodete tootmine,Muiden metallituotteiden valmistus,Fabrication d'autres produits métalliques n.c.a.,"Proizvodnja ostalih gotovih proizvoda od metala, d. n.",M.n.s.egyéb fémfeldolgozási termék gyártása,Fabbricazione di altri prodotti in metallo n.c.a.,"Kitų, niekur kitur nepriskirtų, metalo gaminių gamyba",Citur neklasificētu gatavo metālizstrādājumu ražošana,Manifattura ta' prodotti oħra tal-metall iffabbrikat n.e.c.,"Vervaardiging van andere producten van metaal, n.e.g.",Produksjon av metallvarer ikke nevnt annet sted,"Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana","Fabricação de outros produtos metálicos, n.e.",Fabricarea altor articole din metal n.c.a.,"Производство прочих готовых металлических изделий, не включенных в другие категории",Výroba ostatných kovových výrobkov i. n.,Proizvodnja drugje nerazvrščenih kovinskih izdelkov,Diverse övrig metallvarutillverkning,Başka yerde sınıflandırılmamış diğer fabrikasyon metal ürünlerin imalatı
noga-c-26,nace-26-11,division,class,26,26.11,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2611,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of electronic components,Производство на електронни елементи,Výroba elektronických součástek,Fremstilling af elektroniske komponenter,Herstellung von elektronischen Bauelementen,Κατασκευή ηλεκτρονικών εξαρτημάτων,Fabricación de componentes electrónicos,Elektronkomponentide tootmine,Elektronisten komponenttien valmistus,Fabrication de composants électroniques,Proizvodnja elektroničkih komponenata,Elektronikai alkatrész gyártása,Fabbricazione di componenti elettronici,Elektroninių komponentų gamyba,Elektronisko komponentu ražošana,Manifattura ta' komponenti elettroniċi,Vervaardiging van elektronische onderdelen,Produksjon av elektroniske komponenter,Produkcja elementów elektronicznych,Fabricação de componentes electrónicos,Fabricarea subansamblurilor electronice (module),Производство электронных деталей,Výroba elektronických komponentov,Proizvodnja elektronskih komponent,Tillverkning av elektroniska komponenter,Elektronik bileşenlerin imalatı
noga-c-26,nace-26-12,division,class,26,26.12,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2612,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of loaded electronic boards,Производство на монтирани печатни платки,Výroba osazených elektronických desek,Fremstilling af printplader o.l.,Herstellung von bestückten Leiterplatten,Κατασκευή έμφορτων ηλεκτρονικών πλακετών,Fabricación de circuitos impresos ensamblados,Trükkplaatide tootmine,Kalustettujen piirilevyjen valmistus,Fabrication de cartes électroniques assemblées,Proizvodnja punih elektroničkih ploča,Elektronikai áramköri kártya gyártása,Fabbricazione di schede elettroniche integrate,Sumontuotų elektroninių plokščių gamyba,Elektronisko plašu ražošana,Manifattura ta' bordijiet elettroniċi illowdjati,Vervaardiging van elektronische printplaten,Produksjon av kretskort,Produkcja elektronicznych obwodów drukowanych,Fabricação de placas de circuitos electrónicos,Fabricarea altor componente electronice,Производство электронных панелей загрузки,Výroba montovaných elektronických dosiek,Proizvodnja elektronskih plošč,Tillverkning av kretskort,Yüklü elektronik kart imalatı
noga-c-26,nace-26-20,division,class,26,26.20,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2620,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of computers and peripheral equipment,Производство на компютърна техника,Výroba počítačů a periferních zařízení,Fremstilling af computere og ydre enheder,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten,Κατασκευή ηλεκτρονικών υπολογιστών και περιφερειακού εξοπλισμού,Fabricación de ordenadores y equipos periféricos,Arvutite ja arvuti välisseadmete tootmine,Tietokoneiden ja niiden oheislaitteiden valmistus,Fabrication d'ordinateurs et d'équipements périphériques,Proizvodnja računala i periferne opreme,"Számítógép, perifériás egység gyártása",Fabbricazione di computer e unità periferiche,Kompiuterių ir išorinės įrangos gamyba,Datoru un perifēro iekārtu ražošana,Manifattura ta' kompjuters u tagħmir periferali,Vervaardiging van computers en randapparatuur,Produksjon av datamaskiner og tilleggsutstyr,Produkcja komputerów i urządzeń peryferyjnych,Fabricação de computadores e de equipamento periférico,Fabricarea calculatoarelor şi a echipamentelor periferice,Производство компьютеров и периферийного оборудования,Výroba počítačov a periférnych zariadení,Proizvodnja računalnikov in perifernih naprav,Tillverkning av datorer och kringutrustning,Bilgisayar ve bilgisayar çevre birimleri imalatı
noga-c-26,nace-26-30,division,class,26,26.30,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2630,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of communication equipment,"Производство на радио-, телевизионна и далекосъобщителна техника",Výroba komunikačních zařízení,Fremstilling af kommunikationsudstyr,Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik,Κατασκευή εξοπλισμού επικοινωνίας·,Fabricación de equipos de telecomunicaciones,Sideseadmete tootmine,Viestintälaitteiden valmistus,Fabrication d'équipements de communication,Proizvodnja komunikacijske opreme,Híradástechnikai berendezés gyártása,Fabbricazione di apparecchiature per le comunicazioni,Ryšių įrangos gamyba,Sakaru iekārtu ražošana,Manifattura ta' tagħmir għal komunikazzjoni,Vervaardiging van communicatieapparatuur,Produksjon av kommunikasjonsutstyr,Produkcja sprzętu (tele)komunikacyjnego,Fabricação de aparelhos e de equipamentos para comunicações,Fabricarea echipamentelor de comunicaţii,Производство коммуникационного оборудования,Výroba komunikačných zariadení,Proizvodnja komunikacijskih naprav,Tillverkning av kommunikationsutrustning,İletişim ekipmanlarının imalatı
noga-c-26,nace-26-40,division,class,26,26.40,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2640,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of consumer electronics,Производство на битова електроника,Výroba spotřební elektroniky,Fremstilling af elektronik til husholdninger,Herstellung von Geräten der Unterhaltungselektronik,Κατασκευή ηλεκτρονικών ειδών ευρείας κατανάλωσης,Fabricación de productos electrónicos de consumo,Tarbeelektroonika tootmine,Viihde-elektroniikan valmistus,Fabrication de produits électroniques grand public,Proizvodnja elektroničkih uređaja za široku potrošnju,Elektronikus fogyasztási cikk gyártása,Fabbricazione di prodotti di elettronica di consumo,Vartotojiškos elektroninės įrangos gamyba,Sadzīves elektronisko iekārtu ražošana,Manifattura ta' elettronika ta' konsum,Vervaardiging van consumentenelektronica,Produksjon av elektronikk til husholdningsbruk,Produkcja elektronicznego sprzętu powszechnego użytku,Fabricação de receptores de rádio e de televisão e bens de consumo similares,Fabricarea produselor electronice de larg consum,Производство приборов бытовой электроники,Výroba spotrebnej elektroniky,Proizvodnja elektronskih naprav za široko rabo,Tillverkning av hemelektronik,Tüketici elektroniği ürünlerinin imalatı
noga-c-26,nace-26-51,division,class,26,26.51,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2651,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,"Manufacture of instruments and appliances for measuring, testing and navigation","Производство на уреди и апарати за измерване, изпитване и навигация","Výroba měřicích, zkušebních a navigačních přístrojů","Fremstilling af udstyr til måling, afprøvning, navigation og kontrol","Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen","Κατασκευή οργάνων και συσκευών μέτρησης, δοκιμών και πλοήγησης","Fabricación de instrumentos y aparatos de medida, verificación y navegación","Mõõte-, katse- ja navigatsiooniseadmete tootmine","Mittaus-, testaus- ja navigointivälineiden ja -laitteiden valmistus","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju",Mérőműszergyártás,"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione","Matavimo, bandymo, navigacinės ir kontrolės įrangos prietaisų ir aparatų gamyba","Mērīšanas, pārbaudes, izmēģināšanas un navigācijas instrumentu un aparātu ražošana","Manifattura ta' strumenti u għodod għall-kejl, ittestjar u navigar","Vervaardiging van meet-, controle- en navigatie-instrumenten en -apparatuur","Produksjon av måle-, kontroll- og navigasjonsinstrumenter","Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych","Fabricação de instrumentos e aparelhos de medição, verificação e navegação","Fabricarea de instrumente şi dispozitive pentru măsură, verificare, control, navigaţie","Производство инструментов и приборов для измерения, тестирования и навигации","Výroba nástrojov a zariadení na meranie, testovanie a navigovanie","Proizvodnja merilnih, preizkuševalnih in navigacijskih instrumentov in naprav","Tillverkning av instrument och apparater för mätning, provning och navigering","Ölçme, test ve seyrüsefer amaçlı alet ve cihazların imalatı"
noga-c-26,nace-26-52,division,class,26,26.52,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2652,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of watches and clocks,Производство на часовници и часовникови механизми,Výroba časoměrných přístrojů,Fremstilling af ure,Herstellung von Uhren,Κατασκευή ρολογιών,Fabricación de relojes,Ajanäitajate tootmine,Kellojen valmistus,Horlogerie,Proizvodnja satova,Óragyártás,Fabbricazione di orologi,Įvairių tipų laikrodžių gamyba,Pulksteņu ražošana,Manifattura ta' arloġġi ta' l-idejn u arloġġi oħra,Vervaardiging van uurwerken,Produksjon av klokker og ur,Produkcja zegarków i zegarów,Fabricação de relógios e material de relojoaria,Producţia de ceasuri,Производство часов,Výroba hodín a hodiniek,Proizvodnja ur,Urtillverkning,"Kol saatlerinin, masa ve duvar saatlerinin ve benzerlerinin imalatı"
noga-c-26,nace-26-60,division,class,26,26.60,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2660,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Производство на излъчващи електромедицински и терапевтични апарати,"Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů",Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk apparatur,Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten,Κατασκευή ακτινολογικών και ηλεκτρονικών μηχανημάτων ιατρικής και θεραπευτικής χρήσης,"Fabricación de equipos de radiación, electromédicos y electroterapéuticos","Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine",Säteilylaitteiden sekä elektronisten lääkintä- ja terapialaitteiden valmistus,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme",Elektronikus orvosi berendezés gyártása,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche","Švitinimo, elektromedicininės ir elektroterapinės įrangos gamyba","Apstarošanas, elektromedicīnisko un elektroterapijas iekārtu ražošana","Manifattura ta' tagħmir għall-irradjazzjoni, elettromediku u elettroterapewtiku",Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur,"Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr","Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego","Fabricação de equipamento de irradiação, electromedicina e electroterapêutico","Fabricarea de echipamente pentru radiologie, electrodiagnostic şi electroterapie","Производство облучающего, электромедицинского и электротерапевтического оборудования","Výroba prístrojov na ožarovanie, elektromedicínskych a elektroterapeutických prístrojov","Proizvodnja sevalnih, elektromedicinskih in elektroterapevtskih naprav",Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning,"Işınlama, elektro medikal ve elektro terapi ile ilgili cihazların imalatı"
noga-c-26,nace-26-70,division,class,26,26.70,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2670,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of optical instruments and photographic equipment,Производство на оптични уреди и елементи и фотографска техника,Výroba optických a fotografických přístrojů a zařízení,Fremstilling af optiske instrumenter og fotografisk udstyr,Herstellung von optischen und fotografischen Instrumenten und Geräten,Κατασκευή οπτικών οργάνων και φωτογραφικού εξοπλισμού,Fabricación de instrumentos de óptica y equipo fotográfico,Optikainstrumentide ja -seadmete tootmine,Optisten instrumenttien ja valokuvausvälineiden valmistus,Fabrication de matériels optique et photographique,Proizvodnja optičkih instrumenata i fotografske opreme,Optikai eszköz gyártása,Fabbricazione di strumenti ottici e attrezzature fotografiche i,Optinių prietaisų ir fotografijos įrangos gamyba,Optisko instrumentu un fotoaparatūras ražošana,Manifattura ta' strumenti ottiċi u tagħmir fotografiku,Vervaardiging van optische instrumenten en van foto- en filmapparatuur,Produksjon av optiske instrumenter og fotografisk utstyr,Produkcja instrumentów optycznych i sprzętu fotograficznego,"Fabricação de instrumentos e de equipamentos, ópticos e fotográficoso",Fabricarea de instrumente optice şi echipamente fotografice,Производство оптических приборов и фотографического оборудования,Výroba optických nástrojov a fotografických prístrojov,Proizvodnja optičnih instrumentov in fotografske opreme,Tillverkning av optiska instrument och fotoutrustning,Optik aletlerin ve fotografik ekipmanların imalatı
noga-c-26,nace-26-80,division,class,26,26.80,https://register.ld.admin.ch/i14y/concept/nogaCode/26,http://data.europa.eu/ux2/nace2/2680,C,"Manufacture of computer, electronic and optical products","Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fabrication de produits informatiques, électroniques et optiques",Fabbricazione di computer e prodotti di elettronica e ottica,Manufacture of magnetic and optical media,"Производство на магнитни и оптични носители, незаписани",Výroba magnetických a optických médií,Fremstilling af magnetiske og optiske media,Herstellung von magnetischen und optischen Datenträgern,Κατασκευή μαγνητικών και οπτικών μέσων,Fabricación de soportes magnéticos y ópticos,Magnet- ja optilise andmekandjate tootmine,Tallennevälineiden valmistus,Fabrication de supports magnétiques et optiques,Proizvodnja magnetskih i optičkih medija,"Mágneses, optikai információhordozó gyártása",Fabbricazione di supporti ottici e magnetici,Magnetinių ir optinių laikmenų gamyba,Magnētisko un optisko datu nesēju ražošana,Manifattura ta' mezzi manjetiċi u ottiċi,Vervaardiging van magnetische en optische media,Produksjon av magnetiske og optiske media,Produkcja magnetycznych i optycznych niezapisanych nośników informacji,Fabricação de suportes de informação magnéticos e ópticos,Fabricarea suporţilor magnetici şi optici destinaţi înregistrărilor,Производство магнитных и оптических средств передачи информации,Výroba magnetických a optických médií,Proizvodnja magnetnih in optičnih nosilcev zapisa,Tillverkning av magnetiska och optiska medier,"Manyetik ve optik kaset, bant, CD, vb. ortamların imalatı"
